Crime Categories (NIBRS Code),Uniform Crime Reporting (UCR) Code and Description
All Crime,Includes all Crime Categories
Index Crime,Includes the following Crime Categories (see below)
,Homicide 1st & 2nd Degree (01A) (Index)
Definition: More serious offenses.,Criminal Sexual Assault (02) (Index)
,Robbery (03) (Index)
,Aggravated Assault (04A) (Index)
,Aggravated Battery (04B) (Index)
,Burglary (05) (Index)
,Larceny (06) (Index)
,Motor Vehicle Theft (07) (Index)
,Arson (09) (Index)
Non-Index Crime,Includes the following Crime Categories (see below)
,Involuntary Manslaughter (01B)
Definition: Less serious offenses.,Simple Assault (08A)
,Simple Battery (08B)
,Forgery & Counterfeiting (10)
,Fraud (11)
,Embezzlement (12)
,Stolen Property (13)
,Vandalism (14)
,Weapons Violation (15) 
,Prostitution (16)
,Criminal Sexual Abuse (17)
,Drug Abuse (18)
,Gambling (19)
,Offenses Against Family (20)
,Liquor License (22)
,Disorderly Conduct (24)
,Misc Non-Index Offense (26)
Violent Crime,Includes the following Crime Categories (see below)
,Homicide 1st & 2nd Degree (01A) (Index)
Definition: Crime related to Violence,Criminal Sexual Assault (02) (Index)
,Robbery (03) (Index)
,Aggravated Assault (04A) (Index)
,Aggravated Battery (04B) (Index)
Property Crime,Includes the following Crime Categories (see below)
,Burglary (05) (Index)
Definition: Crime related to Property,Larceny (06) (Index)
,Motor Vehicle Theft (07) (Index)
,Arson (09) (Index)
Public Violence,Includes the following Uniform Crime Reporting Codes
,0110 HOMICIDE FIRST DEGREE MURDER
Definition: Public Violence crime as defined by the Chicago Police Department: Bureau of Patrol excludes domestic related crimes and these location codes:,0130 HOMICIDE SECOND DEGREE MURDER
,0150 JUSTIFIABLE HOMICIDE
090 APARTMENT,0141 HOMIICIDE INVOLUNTARY MANSLAUGHTER
121 CHA APARTMENT,0261 CRIM SEXUAL ASSAULT AGGRAVATED: HANDGUN
140 BUSINESS OFFICE,0262 CRIM SEXUAL ASSAULT AGGRAVATED: OTHER FIREARM
160 COIN OPERATED MACHINE,0271 CRIM SEXUAL ASSAULT ATTEMPT AGG: HANDGUN
170 COLLEGE/UNIVERSITY RESIDENCE HALL,0272 CRIM SEXUAL ASSAULT ATTEMPT AGG: OTHER FIREARM
209 FACTORY/MANUFACTURING BUILDING,031A ROBBERY ARMED: HANDGUN
210 RESIDENCE-GARAGE,031B ROBBERY ARMED: OTHER FIREARM
268 NURSING HOME/RETIREMENT HOME,0326 ROBBERY AGGRAVATED VEHICULAR HIJACKING
290 RESIDENCE,033A ROBBERY ATTEMPT: ARMED-HANDGUN
327 WAREHOUSE,033B ROBBERY ATTEMPT: ARMED-OTHER FIREARM
330 OTHER,041A BATTERY AGGRAVATED: HANDGUN
,041B BATTERY AGGRAVATED: OTHER FIREARM
Public Violence is primarily comprised of gun related crimes committed in the public way.,0450 BATTERY AGGRAVATED PO: HANDGUN
,0451 BATTERY AGGRAVATED PO: OTHER FIREARM
,0480 BATTERY AGG PRO.EMP: HANDGUN
,0481 BATTERY AGG PRO.EMP: OTHER FIREARM
,051A ASSAULT AGGRAVATED: HANDGUN
,051B ASSAULT AGGRAVATED: OTHER FIREARM
,0550 ASSAULT AGGRAVATED PO: HANDGUN
,0551 ASSAULT AGGRAVATED PO: OTHER FIREARM
,141A WEAPONS VIOLATION UNLAWFUL USE HANDGUN
,141B WEAPONS VIOLATION UNLAWFUL USE OTHER FIREARM
Homicide 1st & 2nd Degree (01A) (Index),0110 HOMICIDE FIRST DEGREE MURDER
(Crimes Against Persons),0130 HOMICIDE SECOND DEGREE MURDER
Definition: The killing of one human being by another.,
Involuntary Manslaughter (01B),0141 HOMICIDE INVOLUNTARY MANSLAUGHTER
(Crimes Against Persons) ,0142 HOMICIDE RECKLESS HOMICIDE
Definition:The killing of another person through negligence.,
Criminal Sexual Assault (02) (Index),0261 CRIM SEXUAL ASSAULT AGGRAVATED: HANDGUN
(Crimes Against Persons),0262 CRIM SEXUAL ASSAULT AGGRAVATED: OTHER FIREARM
"Definition: Any sexual act directed against another person, forcibly and/or against that person's will or not forcibly or against the person's will in instances where the victim is incapable of giving consent.",0263 CRIM SEXUAL ASSAULT AGGRAVATED: KNIFE/CUT INSTR
,0264 CRIM SEXUAL ASSAULT AGGRAVATED: OTHER DANG WEAPON
,0265 CRIM SEXUAL ASSAULT AGGRAVATED: OTHER
,0266 CRIM SEXUAL ASSAULT PREDATORY
,0271 CRIM SEXUAL ASSAULT ATTEMPT AGG: HANDGUN
,0272 CRIM SEXUAL ASSAULT ATTEMPT AGG: OTHER FIREARM
,0273 CRIM SEXUAL ASSAULT ATTEMPT AGG: KNIFE/CUT INSTR
,0274 CRIM SEXUAL ASSAULT ATTEMPT AGG: OTHER DANG WEAPON
,0275 CRIM SEXUAL ASSAULT ATTEMPT AGG: OTHER
,0281 CRIM SEXUAL ASSAULT NON-AGGRAVATED
,0291 CRIM SEXUAL ASSAULT ATTEMPT NON-AGGRAVATED
,1753 OFFENSE INVOLVING CHILDREN SEX ASSLT OF CHILD BY FAM MBR
,1754 OFFENSE INVOLVING CHILDREN AGG SEX ASSLT OF CHILD FAM MBR
Robbery (03) (Index) ,0312 ROBBERY ARMED:KNIFE/CUTTING INSTRUMENT
(Crime Against Property) ,0313 ROBBERY ARMED: OTHER DANGEROUS WEAPON
"Definition: The taking or attempting to take anything of value under confrontational circumstances from the control, custody, or care of another person by force or threat of force or violence and/or by putting the victim in fear of immediate harm. ",031A ROBBERY ARMED: HANDGUN
